subject,opponent,matchup,side2_count,side3_count,tape_runs,tape_mean,tape_min,tape_max,simulation_runs,simulation_mean,simulation_min,simulation_max,absolute_mean_delta,tape_band_error,wrong_stable_winner,unresolved_runs
elite_boyar,arbalester,Arbalester vs Elite Boyar,21,11,1,25.636363636363637,25.636363636363637,25.636363636363637,5,36.54545454545455,36.54545454545455,36.54545454545455,10.90909090909091,10.90909090909091,false,0
elite_boyar,champion,Elite Boyar vs Champion,10,21,1,-51.06666666666667,-51.06666666666667,-51.06666666666667,5,-48.30666666666666,-55.666666666666664,-41.266666666666666,2.760000000000012,2.760000000000012,false,0
elite_boyar,elite_elephant,Elite Boyar vs Elite Battle Elephant,18,14,4,-3.4166997354497357,-21.25925925925926,7.857142857142857,100,-7.219649470899474,-32.56481481481482,21.785714285714285,3.802949735449738,0,false,0
elite_boyar,heavy_cav_archer,Heavy Cavalry Archer vs Elite Boyar,21,16,1,10.5,10.5,10.5,5,-36.75,-40,-29.047619047619047,47.25,47.25,true,0
elite_boyar,heavy_scorpion,Heavy Scorpion vs Elite Boyar,15,18,1,77.70370370370371,77.70370370370371,77.70370370370371,5,65.4814814814815,57.333333333333336,71.48148148148148,12.222222222222214,12.222222222222214,false,0
elite_boyar,paladin,Elite Boyar vs Paladin,18,17,1,-53.148148148148145,-53.148148148148145,-53.148148148148145,5,-44.67407407407407,-54.333333333333336,-39.629629629629626,8.474074074074075,8.474074074074075,false,0
elite_conquistador,arbalester,Elite Conquistador vs Arbalester,12,21,4,-31.89814814814815,-36.111111111111114,-27.59259259259259,5,-11.296296296296296,-21.48148148148148,-5.37037037037037,20.601851851851855,16.296296296296298,false,0
elite_conquistador,champion,Elite Conquistador vs Champion,10,21,1,-78.44444444444444,-78.44444444444444,-78.44444444444444,5,-52.55555555555556,-52.55555555555556,-52.55555555555556,25.888888888888886,25.888888888888886,false,0
elite_conquistador,elite_elephant,Elite Conquistador vs Elite Battle Elephant,18,14,4,-52.64969135802469,-64.80246913580247,-43.71604938271605,0,,,,,,true,5
elite_conquistador,heavy_cav_archer,Heavy Cavalry Archer vs Elite Conquistador,21,17,4,-6.389618347338937,-14.523809523809524,12.745098039215685,100,-17.417209383753505,-37.44047619047619,14.379084967320262,11.027591036414568,2.8933998599439814,false,0
elite_conquistador,heavy_scorpion,Elite Conquistador vs Heavy Scorpion,18,15,4,-18.88888888888889,-30.27777777777778,-12.777777777777779,5,-21.11111111111111,-27.77777777777778,-13.88888888888889,2.2222222222222214,0,false,0
elite_conquistador,paladin,Elite Conquistador vs Paladin,18,16,1,-75.12345679012346,-75.12345679012346,-75.12345679012346,5,-71.17283950617283,-71.17283950617283,-71.17283950617283,3.9506172839506206,3.9506172839506206,false,0
elite_gbeto,arbalester,Elite Gbeto vs Arbalester,17,21,4,39.404761904761905,34.76190476190476,46.666666666666664,5,41.904761904761905,32.857142857142854,45.23809523809524,2.5,0,false,0
elite_gbeto,champion,Elite Gbeto vs Champion,15,21,1,-91.33333333333333,-91.33333333333333,-91.33333333333333,5,-74.66666666666667,-74.66666666666667,-74.66666666666667,16.666666666666657,16.666666666666657,false,0
elite_gbeto,elite_elephant,Elite Gbeto vs Elite Battle Elephant,21,11,4,-42.08095238095238,-53.095238095238095,-32.49523809523809,5,-47.73809523809524,-47.73809523809524,-47.73809523809524,5.657142857142858,0,false,0
elite_gbeto,heavy_cav_archer,Heavy Cavalry Archer vs Elite Gbeto,17,21,4,33.92857142857143,28.095238095238095,38.95238095238095,5,-12.783473389355741,-19.852941176470587,1.5238095238095237,46.71204481792717,40.878711484593836,true,0
elite_gbeto,heavy_scorpion,Elite Gbeto vs Heavy Scorpion,21,12,4,7.484126984126984,-8.952380952380953,19.166666666666668,98,13.067541302235181,-18.666666666666668,55,5.583414318108197,0,false,2
elite_gbeto,paladin,Elite Gbeto vs Paladin,21,13,1,-55.714285714285715,-55.714285714285715,-55.714285714285715,5,-68.0952380952381,-68.0952380952381,-68.0952380952381,12.380952380952387,12.380952380952387,false,0
