matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Arbalester vs Champion,10v5,10,5,-98.5,-100,-92.5,-96.25,-96.25,-96.25,2.25,2.25,0,1,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,15v20,15,20,-58.33333333333333,-74.16666666666667,-45.833333333333336,-35.833333333333336,-35.833333333333336,-35.833333333333336,22.499999999999993,22.499999999999993,10,0,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,20v15,20,15,-94.875,-100,-91.25,-86.875,-86.875,-86.875,8,8,4.375,0,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,20v20,20,20,-92.75,-95,-91.25,-63.125,-63.125,-63.125,29.625,29.625,28.125,0,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,5v10,5,10,53.71428571428571,51.42857142857143,55.714285714285715,55,55,55,1.2857142857142918,1.2857142857142918,0,1,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Elite Battle Elephant,10v5,10,5,86.0375,84.75,88.0625,89.6875,89.6875,89.6875,3.6500000000000057,3.6500000000000057,1.625,0,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,15v20,15,20,96.821875,96.25,97.21875,96.75,96.75,96.75,-0.07187500000000568,0.07187500000000568,0,1,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,20v15,20,15,92.24166666666667,90.64583333333333,94,92.35416666666667,92.35416666666667,92.35416666666667,0.11249999999999716,0.11249999999999716,0,1,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,20v20,20,20,95.990625,95.765625,96.453125,94.15625,94.15625,94.15625,-1.8343749999999943,1.8343749999999943,1.609375,0,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,5v10,5,10,98.18125,97.96875,98.375,98.28125,98.28125,98.28125,0.09999999999999432,0.09999999999999432,0,1,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Fire Lancer,10v5,10,5,-87.2,-87.75,-85,-80.5,-80.5,-80.5,6.700000000000003,6.700000000000003,4.5,0,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Fire Lancer,15v20,15,20,31.705882352941178,24.41176470588235,40,47.64705882352941,47.64705882352941,47.64705882352941,15.941176470588236,15.941176470588236,7.647058823529413,0,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Fire Lancer,20v15,20,15,-77.025,-81.125,-71.625,-60.625,-60.625,-60.625,16.400000000000006,16.400000000000006,11,0,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Fire Lancer,20v20,20,20,-50.175,-58.5,-41.875,-46,-46,-46,4.174999999999997,4.174999999999997,0,1,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Fire Lancer,5v10,5,10,68.94117647058823,65.29411764705883,72.94117647058823,73.52941176470588,73.52941176470588,73.52941176470588,4.588235294117652,4.588235294117652,0.5882352941176521,0,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Steppe Lancer,10v5,10,5,-49.2,-59,-38,-21,-21,-21,28.200000000000003,28.200000000000003,17,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,15v20,15,20,71.84,68.8,78.4,82,82,82,10.159999999999997,10.159999999999997,3.5999999999999943,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
