id,matchup,ranged_unit,ranged_count,melee_unit,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,signed_mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,winner_agreement,simulation_runs,unresolved_runs,failure
492-21_vs_1903-17,Arbalester vs Elite Fire Lancer,Arbalester,21,Elite Fire Lancer,17,-72.44047619047619,-72.61904761904762,-72.26190476190476,-72.02380952380952,-76.54761904761905,-66.78571428571429,0.4166666666666714,0.4166666666666714,0.2380952380952408,0,match,5,0,
542-6_vs_359-21,Heavy Scorpion vs Halberdier,Heavy Scorpion,6,Halberdier,21,66.28968253968254,63.76984126984127,68.80952380952381,62.08730158730158,57.857142857142854,65.07936507936508,-4.202380952380963,4.202380952380963,1.6825396825396908,0.6,match,5,0,
542-8_vs_441-21,Heavy Scorpion vs Hussar,Heavy Scorpion,8,Hussar,21,81.10902255639098,75.18796992481202,91.42857142857143,76.21553884711781,73.38345864661655,77.89473684210526,-4.89348370927317,4.89348370927317,0,0.6,match,5,0,
542-8_vs_567-21,Heavy Scorpion vs Champion,Heavy Scorpion,8,Champion,21,73.56009070294785,61.224489795918366,87.48299319727892,59.70068027210884,54.01360544217687,63.265306122448976,-13.859410430839006,13.859410430839006,1.5238095238095255,0.4,match,5,0,
542-12_vs_1903-21,Heavy Scorpion vs Elite Fire Lancer,Heavy Scorpion,12,Elite Fire Lancer,21,61.5406162464986,58.8235294117647,64.25770308123249,58.37535014005603,54.73389355742297,62.52100840336134,-3.165266106442573,3.165266106442573,0.4481792717086748,0.4,match,5,0,
542-14_vs_1372-21,Heavy Scorpion vs Elite Steppe Lancer,Heavy Scorpion,14,Elite Steppe Lancer,21,69.28571428571429,63.476190476190474,75.0952380952381,60.766666666666666,59.404761904761905,62.61904761904762,-8.519047619047626,8.519047619047626,2.709523809523809,0,match,5,0,
542-15_vs_330-20,Heavy Scorpion vs Heavy Camel Rider,Heavy Scorpion,15,Heavy Camel Rider,20,56.61607142857143,54.464285714285715,58.767857142857146,63.328571428571436,57.107142857142854,67.32142857142857,6.712500000000006,6.712500000000006,4.56071428571429,0.2,match,5,0,
542-15_vs_569-17,Heavy Scorpion vs Paladin,Heavy Scorpion,15,Paladin,17,79.00653594771242,68.10457516339869,87.05882352941177,79.47712418300652,76.60130718954248,81.43790849673202,0.47058823529410176,0.47058823529410176,0,1,match,5,0,
542-16_vs_1134-14,Heavy Scorpion vs Elite Battle Elephant,Heavy Scorpion,16,Elite Battle Elephant,14,63.154761904761905,61.25,64.10714285714286,61.03571428571428,54.82142857142857,66.78571428571429,-2.1190476190476275,2.1190476190476275,0.2142857142857224,0,match,5,0,
588-3_vs_359-21,Siege Onager vs Halberdier,Siege Onager,3,Halberdier,21,78.26984126984127,76.68253968253968,79.85714285714286,51.45509673138073,36.91861452723411,60.78030923440089,-26.814744538460538,26.814744538460538,25.227442951158956,0,match,5,0,
588-4_vs_441-21,Siege Onager vs Hussar,Siege Onager,4,Hussar,21,38.42355889724311,36.55137844611529,40.29573934837093,57.75687167418588,51.34976809993257,65.54827609777668,19.33331277694277,19.33331277694277,17.46113232581495,0,match,5,0,
588-4_vs_567-21,Siege Onager vs Champion,Siege Onager,4,Champion,21,36.7687074829932,36.7687074829932,36.7687074829932,60.37502584298913,53.594365434645404,64.92871752798148,23.60631835999593,23.60631835999593,23.60631835999593,0,match,5,0,
588-6_vs_1903-21,Siege Onager vs Elite Fire Lancer,Siege Onager,6,Elite Fire Lancer,21,56.14565826330532,56.14565826330532,56.14565826330532,42.87238554833556,25.341142823113454,53.92130881884372,-13.273272714969764,13.273272714969764,13.273272714969764,0,match,5,0,
588-7_vs_1134-14,Siege Onager vs Elite Battle Elephant,Siege Onager,7,Elite Battle Elephant,14,14.727678571428571,14.727678571428571,14.727678571428571,72.47691937112714,63.25572351023777,78.27618417599766,57.74924079969857,57.74924079969857,57.74924079969857,0,match,5,0,
588-7_vs_1372-21,Siege Onager vs Elite Steppe Lancer,Siege Onager,7,Elite Steppe Lancer,21,62.99047619047619,62.99047619047619,62.99047619047619,31.110057190737773,20.2217399149649,40.017051525090906,-31.880418999738414,31.880418999738414,31.880418999738414,0,match,5,0,
588-8_vs_330-20,Siege Onager vs Heavy Camel Rider,Siege Onager,8,Heavy Camel Rider,20,62.807142857142864,61.475,64.13928571428572,32.232339900288096,24.42611811140487,43.8870549749551,-30.574802956854768,30.574802956854768,29.242660099711905,0,match,5,0,
588-8_vs_569-17,Siege Onager vs Paladin,Siege Onager,8,Paladin,17,33.69607843137254,33.69607843137254,33.69607843137254,48.15850513588954,37.84657205490584,68.50512727140853,14.462426704517,14.462426704517,14.462426704517,0,match,5,0,
