subject,opponent,matchup,side2_count,side3_count,tape_runs,tape_mean,tape_min,tape_max,simulation_runs,simulation_mean,simulation_min,simulation_max,absolute_mean_delta,tape_band_error,tape_classification,wrong_stable_winner,unresolved_runs
elite_boyar,arbalester,Arbalester vs Elite Boyar,21,11,1,25.636363636363637,25.636363636363637,25.636363636363637,4,33,30,34.72727272727273,7.363636363636363,7.363636363636363,stable,false,1
elite_boyar,champion,Elite Boyar vs Champion,10,21,1,-51.06666666666667,-51.06666666666667,-51.06666666666667,5,-64.93333333333334,-75.26666666666667,-53.2,13.866666666666667,13.866666666666667,stable,false,0
elite_boyar,elite_elephant,Elite Boyar vs Elite Battle Elephant,18,14,4,-3.4166997354497357,-21.25925925925926,7.857142857142857,4,50.95982142857143,32.32142857142857,60.80357142857143,54.37652116402116,43.10267857142858,knife-edge,false,11
elite_boyar,heavy_cav_archer,Heavy Cavalry Archer vs Elite Boyar,21,16,1,10.5,10.5,10.5,5,28.15,5.75,34.5,17.65,17.65,stable,false,0
elite_boyar,heavy_scorpion,Heavy Scorpion vs Elite Boyar,15,18,1,77.70370370370371,77.70370370370371,77.70370370370371,4,57.14814814814815,52.44444444444444,64.44444444444444,20.555555555555557,20.555555555555557,stable,false,1
elite_boyar,paladin,Elite Boyar vs Paladin,18,17,1,-53.148148148148145,-53.148148148148145,-53.148148148148145,2,-40.611111111111114,-43.44444444444444,-37.77777777777778,12.537037037037031,12.537037037037031,stable,false,3
elite_conquistador,arbalester,Elite Conquistador vs Arbalester,12,21,4,-31.89814814814815,-36.111111111111114,-27.59259259259259,5,-10.62962962962963,-17.40740740740741,-4.074074074074074,21.26851851851852,16.962962962962962,stable,false,0
elite_conquistador,champion,Elite Conquistador vs Champion,10,21,1,-78.44444444444444,-78.44444444444444,-78.44444444444444,5,-52.57777777777778,-55.44444444444444,-45.44444444444444,25.86666666666666,25.86666666666666,stable,false,0
elite_conquistador,elite_elephant,Elite Conquistador vs Elite Battle Elephant,18,14,4,-52.64969135802469,-64.80246913580247,-43.71604938271605,5,59.15178571428571,59.151785714285715,59.151785714285715,111.8014770723104,102.86783509700176,stable,true,0
elite_conquistador,heavy_cav_archer,Heavy Cavalry Archer vs Elite Conquistador,21,17,4,-6.389618347338937,-14.523809523809524,12.745098039215685,15,-2.365818549642079,-22.113095238095237,18.954248366013072,4.023799797696858,0,knife-edge,false,0
elite_conquistador,heavy_scorpion,Elite Conquistador vs Heavy Scorpion,18,15,4,-18.88888888888889,-30.27777777777778,-12.777777777777779,5,-23.27777777777778,-25.833333333333332,-21.11111111111111,4.388888888888889,0,stable,false,0
elite_conquistador,paladin,Elite Conquistador vs Paladin,18,16,1,-75.12345679012346,-75.12345679012346,-75.12345679012346,5,-10.864197530864198,-10.864197530864198,-10.864197530864198,64.25925925925925,64.25925925925925,stable,false,0
elite_gbeto,arbalester,Elite Gbeto vs Arbalester,17,21,4,39.404761904761905,34.76190476190476,46.666666666666664,5,58.85714285714287,48.095238095238095,64.28571428571429,19.452380952380963,12.190476190476204,stable,false,0
elite_gbeto,champion,Elite Gbeto vs Champion,15,21,1,-91.33333333333333,-91.33333333333333,-91.33333333333333,5,-66.66666666666667,-66.66666666666667,-66.66666666666667,24.666666666666657,24.666666666666657,stable,false,0
elite_gbeto,elite_elephant,Elite Gbeto vs Elite Battle Elephant,21,11,4,-42.08095238095238,-53.095238095238095,-32.49523809523809,0,,,,,,stable,true,5
elite_gbeto,heavy_cav_archer,Heavy Cavalry Archer vs Elite Gbeto,17,21,4,33.92857142857143,28.095238095238095,38.95238095238095,5,9.008683473389356,-5.147058823529412,18,24.919887955182077,19.08655462184874,stable,false,0
elite_gbeto,heavy_scorpion,Elite Gbeto vs Heavy Scorpion,21,12,4,7.484126984126984,-8.952380952380953,19.166666666666668,14,46.56746031746031,28.055555555555557,58.333333333333336,39.08333333333333,27.40079365079364,knife-edge,false,1
elite_gbeto,paladin,Elite Gbeto vs Paladin,21,13,1,-55.714285714285715,-55.714285714285715,-55.714285714285715,5,-37.142857142857146,-37.142857142857146,-37.142857142857146,18.57142857142857,18.57142857142857,stable,false,0
elite_genoese_crossbowman,arbalester,Elite Genoese Crossbowman vs Arbalester,18,21,4,30.892857142857142,28.333333333333332,33.095238095238095,5,11.952380952380953,4.761904761904762,18.095238095238095,18.94047619047619,16.38095238095238,stable,false,0
elite_genoese_crossbowman,champion,Elite Genoese Crossbowman vs Champion,16,21,1,-74.25,-74.25,-74.25,5,-61.45,-65.25,-60.5,12.799999999999997,12.799999999999997,stable,false,0
elite_genoese_crossbowman,elite_elephant,Elite Genoese Crossbowman vs Elite Battle Elephant,21,10,1,-98.38095238095238,-98.38095238095238,-98.38095238095238,5,-93.9047619047619,-93.9047619047619,-93.9047619047619,4.476190476190482,4.476190476190482,stable,false,0
elite_genoese_crossbowman,heavy_cav_archer,Elite Genoese Crossbowman vs Heavy Cavalry Archer,21,16,1,-45.333333333333336,-45.333333333333336,-45.333333333333336,5,-69.23809523809524,-71.42857142857143,-65.23809523809524,23.904761904761905,23.904761904761905,stable,false,0
elite_genoese_crossbowman,heavy_scorpion,Elite Genoese Crossbowman vs Heavy Scorpion,21,11,1,45.45454545454545,45.45454545454545,45.45454545454545,5,39.515151515151516,28.484848484848484,45.45454545454545,5.939393939393938,5.939393939393938,stable,false,0
elite_genoese_crossbowman,paladin,Elite Genoese Crossbowman vs Paladin,21,12,1,-86.57142857142857,-86.57142857142857,-86.57142857142857,5,-80.72380952380952,-81.52380952380952,-80.19047619047619,5.847619047619048,5.847619047619048,stable,false,0
elite_huskarl,arbalester,Arbalester vs Elite Huskarl,20,21,1,85.71428571428571,85.71428571428571,85.71428571428571,5,85.91836734693878,85.91836734693878,85.91836734693878,0.20408163265307167,0.20408163265307167,stable,false,0
elite_huskarl,champion,Elite Huskarl vs Champion,18,21,1,51.97278911564626,51.97278911564626,51.97278911564626,2,34.69387755102041,6.258503401360544,63.12925170068027,17.27891156462585,17.27891156462585,stable,false,3
